Parent,Child
286.0,286.4
286.0,286.7
286.0,286.81
286.0,286.8
286.0,286.3
286.0,286.9
286.0,286.2
286.1,286.13
286.1,286.12
286.1,286.11
287.0,287.2
287.0,287.4
287.0,287.31
287.0,287.32
287.0,287.3
287.0,287.1
287.3,287.31
287.3,287.32
288.0,288.11
288.0,288.3
288.0,288.1
288.0,288.2
288.1,288.11
289.0,289.4
289.0,289.5
289.0,289.9
289.0,289.1
289.0,289.3
286.8,286.81
290.0,290.13
290.0,290.1
290.0,290.16
290.0,290.2
290.0,290.3
290.0,290.11
290.0,290.12
290.1,290.13
290.1,290.16
290.1,290.11
290.1,290.12
317.0,317.1
317.0,317.11
317.1,317.11
316.0,316.1
291.0,291.1
291.0,291.4
291.0,291.8
296.0,296.1
296.0,296.22
296.0,296.2
300.1,300.12
300.1,300.11
300.1,300.13
295.0,295.3
295.0,295.1
295.0,295.2
296.2,296.22
300.0,300.1
300.0,300.12
300.0,300.11
300.0,300.2
300.0,300.13
300.0,300.3
300.0,300.4
300.0,300.8
300.0,300.9
303.0,303.4
303.0,303.1
303.0,303.3
303.0,303.31
301.0,301.1
301.0,301.2
302.0,302.1
303.3,303.31
306.0,306.9
306.0,306.1
327.0,327.4
327.0,327.41
327.0,327.1
327.0,327.6
327.0,327.5
327.0,327.3
327.0,327.31
327.0,327.32
327.0,327.7
327.0,327.72
327.0,327.71
327.4,327.41
305.2,305.21
313.0,313.3
313.0,313.2
313.0,313.1
315.0,315.1
315.0,315.2
315.0,315.3
312.0,312.3
327.3,327.31
327.3,327.32
327.7,327.72
327.7,327.71
331.0,331.1
331.0,331.9
333.0,333.8
333.0,333.1
333.0,333.2
333.0,333.3
333.0,333.4
334.2,334.21
334.0,334.1
334.0,334.2
334.0,334.21
337.0,337.1
355.0,355.1
338.0,338.1
338.0,338.2
340.0,340.1
345.0,345.1
345.0,345.11
345.0,345.12
345.0,345.3
345.1,345.11
345.1,345.12
348.0,348.4
348.0,348.2
348.0,348.8
348.0,348.9
