CCS,CPT
12,60281
12,60300
12,61548
12,60502
12,62165
12,60000
13,65750
13,65757
13,65756
13,65755
13,65710
13,65730
13,0290T
14,0450T
14,65855
14,66185
14,66175
14,66150
14,66155
14,66180
14,66174
14,66172
14,66710
14,66761
14,66160
14,66711
14,66183
14,65820
14,66720
14,0191T
14,0253T
14,66184
14,0449T
14,65850
14,66700
14,66179
14,66740
14,66170
15,66920
15,66930
15,66820
15,66983
15,66982
15,65920
15,66825
15,66984
15,66840
15,66985
15,66850
15,66852
15,66986
15,0308T
15,66940
15,66821
15,66830
16,67145
16,67105
16,67110
16,67040
16,67141
16,67101
16,67039
16,67113
16,67107
16,67108
17,67208
17,67210
17,67225
17,67218
17,67228
17,67229
17,67221
17,67220
17,67227
18,67346
18,0330T
18,68525
18,65800
18,67415
18,68510
18,67450
18,67810
18,0329T
18,65410
18,67400
18,65430
18,68100
18,92145
19,68371
19,65765
19,67916
19,68110
19,65767
19,15822
19,68340
19,68801
19,15820
19,68811
19,68815
19,67805
19,68399
19,0402T
19,65435
19,68040
19,68325
19,67820
19,68705
19,65285
19,68420
19,68550
19,65273
19,67999
19,67921
19,67966
19,67880
19,15821
19,13153
19,68115
19,68520
19,65779
19,67715
19,68320
19,68330
19,67923
19,67930
19,65436
19,68761
19,65600
19,65286
19,67938
19,68720
19,68135
19,67904
19,67974
19,68540
19,67924
19,68770
19,67973
19,67961
19,65770
19,68816
19,65760
19,0207T
19,68810
19,68530
19,68750
19,67906
19,67801
19,67908
19,68130
19,65420
19,65400
19,67825
19,68326
19,67912
19,68505
19,67935
19,67950
19,67902
19,13152
19,67971
19,65275
19,68020
19,68328
19,68440
19,67909
19,67914
19,65772
19,66250
19,65210
19,65778
19,68200
19,68700
19,68840
19,65272
19,65280
19,67700
19,67835
19,68400
19,67882
19,67922
19,67915
19,67903
19,13151
19,68360
19,65450
19,67917
19,65785
19,67900
19,68335
19,68760
19,67800
19,65775
19,15823
19,65426
19,67850
19,65771
19,68500
19,67840
19,67875
19,65270
19,68362
19,67901
19,67975
19,68745
19,67808
19,67710
19,67911
19,67830
20,65865
20,66030
20,67255
20,67015
20,65265
20,67010
20,67115
20,67028
20,66500
20,65870
20,66630
20,67042
20,65860
20,65900
20,67299
20,66682
20,67025
20,67027
20,67250
20,67121
20,66225
20,66680
20,67043
20,65880
20,0474T
20,66635
20,65815
20,66505
20,66990
20,67036
20,0376T
20,67120
20,65930
20,67030
20,66625
20,0100T
20,66020
20,67005
20,65810
20,66605
20,66770
20,66999
20,67041
20,66130
20,66600
20,65875
20,67031
20,66762
21,65150
21,67599
21,21282
21,65105
21,67345
21,67314
21,67412
21,65135
21,67311
21,67318
21,65091
21,67316
21,67335
21,67560
21,67550
21,67505
21,67399
21,67332
21,61333
21,65110
21,67405
21,0356T
21,65155
21,67500
21,67340
21,65101
21,67320
21,67343
21,65290
21,68899
21,67414
21,67515
21,67420
21,65140
21,67440
21,67331
21,67430
21,65114
21,65093
21,65125
21,67445
21,21280
21,65175
21,67334
21,65103
21,67312
21,67413
21,65130
21,61330
21,65112
22,69632
22,69604
22,69637
22,69610
22,69635
22,69620
22,69631
22,69636
22,69633
23,69420
23,69421
23,69436
23,69433
23,69440
24,69602
24,69530
24,69642
24,69910
24,69646
24,69511
24,69603
24,69643
24,69502
24,69645
24,69501
24,69601
24,69505
24,69641
24,69644
25,92626
25,69100
25,92627
25,69105
25,92640
26,69550
26,69540
26,69660
26,69554
26,69960
26,69979
26,69209
26,69666
26,69650
26,69320
26,69535
26,69552
26,69700
26,69711
26,69718
26,69662
26,69801
26,69714
26,69005
26,69210
26,69424
26,69120
26,69715
26,69140
26,69805
26,69670
26,69799
26,69450
26,92633
26,69205
26,69310
26,69950
26,69090
26,69155
26,69905
26,69717
26,92630
26,69915
26,69949
26,69930
26,69110
26,69145
26,69020
26,69300
